3	2	1	2	3	4	5	6	7	8	9	10	15	2147483647	2147483647	2147483647
2	1	0	1	2	3	4	5	6	7	8	9	14	2147483647	2147483647	2147483647
3	2	1	0	1	2	6	6	7	8	9	10	13	2147483647	2147483647	2147483647
4	3	2	1	2	3	4	5	6	7	8	9	12	2147483647	2147483647	2147483647
5	4	3	2	3	4	5	6	7	8	9	10	11	2147483647	2147483647	2147483647
6	5	4	3	4	5	6	7	8	9	10	11	12	13	2147483647	2147483647
7	6	5	4	5	6	7	8	9	10	11	12	13	14	15	16
8	7	6	5	6	7	8	9	10	11	12	13	14	15	16	17
9	8	7	6	7	8	9	10	11	12	13	14	15	16	17	18
22	23	24	25	26	27	28	11	12	13	2147483647	2147483647	2147483647	2147483647	2147483647	2147483647
21	22	23	24	25	26	27	12	13	14	15	16	17	18	19	20
20	19	18	17	16	15	14	13	14	15	16	17	18	19	20	21
21	20	19	18	17	16	15	14	15	16	17	18	19	20	21	22
22	21	20	19	18	17	16	15	16	17	18	19	20	21	22	23
23	22	21	20	19	18	17	16	17	18	19	20	21	22	24	24
24	23	22	21	20	19	18	17	18	19	20	21	22	23	24	25
